PC  | CMD  | XYZ | P   | R0  | R1  | R2  | R3  | ZCNO
0C7 | JO   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
0C9 | SUB  | 002 | --- | 000 | 000 | 001 | 000 | TTFF
0CA | JNZ  | 000 | 0E4 | 000 | 000 | 001 | 000 | TTFF
0CC | LDC  | 000 | 000 | 000 | 000 | 001 | 000 | TTFF
0CE | LDC  | 100 | 7FF | 000 | 7FF | 001 | 000 | FTFF
0D0 | LDC  | 200 | 800 | 000 | 7FF | 800 | 000 | FTTF
0D2 | LDC  | 300 | 800 | 000 | 7FF | 800 | 800 | FTTF
0D4 | SLL  | 330 | --- | 000 | 7FF | 800 | 000 | TTFF
0D5 | SUBC | 001 | --- | 800 | 7FF | 800 | 000 | FTTF
0D6 | JZ   | 000 | 0E4 | 800 | 7FF | 800 | 000 | FTTF
0D8 | JNC  | 000 | 0E4 | 800 | 7FF | 800 | 000 | FTTF
0DA | JNN  | 000 | 0E4 | 800 | 7FF | 800 | 000 | FTTF
0DC | JO   | 000 | 0E4 | 800 | 7FF | 800 | 000 | FTTF
0DE | SUB  | 002 | --- | 000 | 7FF | 800 | 000 | TTFF
0DF | JNZ  | 000 | 0E4 | 000 | 7FF | 800 | 000 | TTFF
0E1 | LDC  | 000 | 001 | 001 | 7FF | 800 | 000 | FTFF
0E3 | STOP | 000 | --- | 001 | 7FF | 800 | 000 | FTFF
-----------------------------------------------------
